job,salary,city,frequency,duration,company_name,company_scale,advantage
实习生-视觉设计,120/天,北京,5天/周,3个月,字节跳动,2000人以上,下午茶团队氛围好免费三餐租房补贴 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
商业产品运营实习生-星图平台,150/天,北京,5天/周,3个月,字节跳动,2000人以上,包三餐免费下午茶免费健身房 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
后端开发实习生 - 数据平台,200-400/天,北京,5天/周,4个月,字节跳动,2000人以上,远程实习实习津贴定期体检下午茶免费班车节日福利可转正 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
用户关系部运营实习生,200/天,上海,4天/周,3个月,NIO蔚来,2000人以上,免费咖啡全市班车 团队体验，有憧憬，有发展，用户企业，成长快速，工作氛围优良，免费班车
游戏运营实习生,120-150/天,武汉,5天/周,3个月,斗鱼,500-2000人,互联网大厂免费下午茶弹性工作制 餐费补贴，弹性工时，水果零食，五险一金，专业培训，晋升空间，发展平台，有大牛，多种专业培训，每年体检
UP主运营实习生（王者荣耀）,120-200/天,武汉,4天/周,3个月,斗鱼,500-2000人,可转正实习节日福利 餐费补贴，弹性工时，水果零食，五险一金，专业培训，晋升空间，发展平台，有大牛，多种专业培训，每年体检
行政实习生J11250,100-150/天,上海市,5天/周,6个月,易车网,2000人以上,环境nice 
数据产品实习生,200/天,北京,5天/周,3个月,字节跳动,2000人以上,字节跳动今日头条抖音互联网大厂 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
软件测试,150-200/天,杭州,5天/周,6个月,同花顺,2000人以上,可转正实习 人工智能，给力的薪酬，实习留任，每年加薪，锻炼自我，互联网 金融
HR招聘实习生,120-150/天,北京,4天/周,4个月,搜狐,2000人以上,完整职业培训主管nice 良好团队氛围，有大牛，丰厚实习佣金，帅哥美女多，快速成长，自我提升，团队建设活动，可留任，高逼格环境，15天带薪年假
21届C++开发工程师,200-400/天,杭州,5天/周,3个月,同花顺,2000人以上,可转正实习 免费健身，这里有梦想，户外拓展
HRBP实习生,100-150/天,北京,5天/周,3个月,每日优鲜,2000人以上,寒假实习接受大一大二留学生实习实习证明 使命必达，机遇多，敏捷团队，起点高，美铝多，鲜肉多，团队氛围超棒
HRBP实习生,150/天,北京,5天/周,3个月,字节跳动,2000人以上,免费三餐下午茶租房补贴留学生实习一线互联网大厂福利待遇好 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
合同管理实习生,100-120/天,合肥,4天/周,3个月,科大讯飞,2000人以上,餐补实习证明实习津贴周末双休朝九晚五提供住宿免费班车 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
大客户销售精英储备生,80-100/天,郑州,5天/周,3个月,字节跳动,2000人以上,可转正实习房补节日福利弹性工作 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
内容策划实习生（阴阳师）,100-150/天,广州,4天/周,3个月,网易游戏,2000人以上,可转正实习实习证明 文化开放，优秀的团队，机制健全，大家庭，实习待遇好，学习平台大
大客户销售精英储备生,80-100/天,武汉,5天/周,3个月,字节跳动,2000人以上,可转正实习商业险下午茶房补 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
